City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,vaitape,-16.5167,-151.75,27.27,73,1,2.66,PF,1676832249
192,gizo,-8.103,156.8419,27.35,70,98,0.5,SB,1676832249
193,taoudenni,22.6783,-3.9836,28.79,9,100,4.21,ML,1676832250
194,lorengau,-2.0226,147.2712,26.84,76,100,0.81,PG,1676832251
195,mitsamiouli,-11.3847,43.2844,27.51,76,48,1.89,KM,1676832252
196,morro bay,35.3658,-120.8499,19.58,43,0,1.66,US,1676832252
197,leningradskiy,69.3833,178.4167,-33.53,96,100,2.92,RU,1676832253
198,la paz,-16.5,-68.15,16.99,31,40,4.12,BO,1676832253
199,kavieng,-2.5744,150.7967,27.68,76,30,2.64,PG,1676832254
200,villa bruzual,9.3328,-69.1208,35.64,19,0,2.29,VE,1676832255
201,aklavik,68.2191,-135.0107,-24.0,77,75,2.57,CA,1676832256
202,vao,-22.6667,167.4833,24.43,70,1,8.95,NC,1676832256
203,barpathar,26.3,93.8667,21.52,48,98,0.92,IN,1676832257
204,katsuura,35.1333,140.3,11.64,61,100,2.29,JP,1676832258
205,maua,-23.6678,-46.4614,20.16,92,100,4.38,BR,1676831718
206,georgetown,5.4112,100.3354,26.96,94,20,0.0,MY,1676832171
207,neringa,55.3719,21.0647,2.51,61,0,10.53,LT,1676832259
208,namatanai,-3.6667,152.4333,26.26,83,97,2.6,PG,1676832230
209,dalby,-27.1833,151.2667,18.88,86,100,4.06,AU,1676832260
210,dingle,10.9995,122.6711,23.27,93,90,1.18,PH,1676832261
211,yurino,56.2942,46.3039,-16.0,97,86,3.4,RU,1676832261
212,grimshaw,56.1834,-117.6027,-11.21,73,100,2.06,CA,1676832262
213,saldanha,-33.0117,17.9442,17.93,87,11,4.51,ZA,1676832262
214,taksimo,56.3444,114.8794,-24.47,87,90,1.68,RU,1676832263
215,axim,4.8699,-2.2405,26.58,75,5,3.73,GH,1676832264
216,chokurdakh,70.6333,147.9167,-46.05,100,72,0.29,RU,1676832264
217,sambava,-14.2667,50.1667,25.56,82,30,4.55,MG,1676832265
218,cape town,-33.9258,18.4232,19.93,75,40,5.14,ZA,1676832228
219,conner,17.7964,121.3275,22.23,99,100,3.25,PH,1676832266
220,edson,53.5835,-116.4356,0.08,86,100,4.12,CA,1676832267
221,bethel,41.3712,-73.414,8.27,55,75,4.63,US,1676832034
222,torbay,47.6666,-52.7314,-2.63,89,100,8.28,CA,1676832200
223,tautira,-17.7333,-149.15,27.0,76,35,3.29,PF,1676832268
224,eureka,40.8021,-124.1637,11.22,76,69,1.34,US,1676831983
225,olinda,-8.0089,-34.8553,29.85,70,40,5.14,BR,1676832094
226,cam ranh,11.9214,109.1591,24.98,65,20,5.14,VN,1676832270
227,kedrovyy,56.1667,91.8167,-7.77,97,100,1.05,RU,1676832270
228,touros,-5.1989,-35.4608,28.74,66,100,6.51,BR,1676832213
229,artyom,40.4723,50.333,6.08,75,100,3.38,AZ,1676832271
230,qasigiannguit,68.8193,-51.1922,-16.86,96,100,2.7,GL,1676832272
231,nabire,-3.3667,135.4833,23.45,91,100,1.44,ID,1676832272
232,airai,-8.9266,125.4092,15.63,95,94,1.1,TL,1676832273
233,kloulklubed,7.0419,134.2556,27.89,76,65,6.83,PW,1676832273
234,biak,-0.9131,122.8766,24.11,88,100,0.43,ID,1676832274
235,souillac,-20.5167,57.5167,27.21,89,75,4.12,MU,1676832274
236,boa vista,2.8197,-60.6733,30.99,48,75,6.17,BR,1676832020
237,mollendo,-17.0231,-72.0147,25.99,73,100,4.55,PE,1676832275
238,ankazoabo,-22.2833,44.5167,24.58,79,0,3.59,MG,1676832276
239,matlock,53.1384,-1.5556,10.34,81,100,6.96,GB,1676832277
240,bambous virieux,-20.3428,57.7575,27.14,89,75,4.12,MU,1676832277
241,petropavlovsk-kamchatskiy,53.0452,158.6483,-14.67,72,40,2.0,RU,1676832221
242,tamale,9.4008,-0.8393,31.67,11,100,2.37,GH,1676832278
243,pafos,34.7667,32.4167,10.88,71,20,3.09,CY,1676832279
244,muros,42.7762,-9.0603,18.16,63,9,1.72,ES,1676832279
245,bugulma,54.55,52.8,-19.05,100,96,2.7,RU,1676832280
246,alghero,40.5589,8.3181,10.05,100,0,2.57,IT,1676832281
247,minggang,32.4586,114.0486,5.89,44,71,0.54,CN,1676832281
248,hervey bay,-25.2986,152.8535,24.26,74,100,5.59,AU,1676832282
249,cabedelo,-6.9811,-34.8339,31.37,66,85,5.35,BR,1676832283
250,svetlogorsk,52.6333,29.7333,-0.29,63,8,6.27,BY,1676832283
251,arteaga,18.4667,-102.4167,29.55,22,4,1.67,MX,1676832284
252,xichang,27.8964,102.2634,8.35,81,71,1.57,CN,1676832284
253,ayan,56.45,138.1667,-20.08,81,67,4.09,RU,1676832285
254,la asuncion,11.0333,-63.8628,21.85,100,0,7.72,VE,1676832285
255,meadow lake,34.8014,-106.5436,9.27,53,100,3.93,US,1676832286
256,anadyr,64.75,177.4833,-21.67,69,20,2.0,RU,1676832286
257,corinto,37.9407,22.9573,13.83,77,0,4.5,GR,1676832287
258,adrar,20.5022,-10.0711,27.54,11,54,3.3,MR,1676832288
259,talaya,61.3833,152.75,-38.18,100,100,0.41,RU,1676832288
260,ribeira grande,38.5167,-28.7,15.22,72,75,4.12,PT,1676832289
261,aras,42.5617,-2.356,9.23,54,0,0.51,ES,1676832290
